영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Guemar Airport,게마르 공항,ELU,DAUO,중동아프리카,Algeria,알제리,El Oued
Elfin Cove Seaplane Base,엘핀 코브 수상비행기 기지,ELV,PAEL,북미캐나다,United States,미국,Elfin Cove
Ely Airport,엘리 공항,ELY,KELY,북미캐나다,United States,미국,Ely
East Midlands Airport,이스트 미들랜드 공항,EMA,EGNX,유럽,United Kingdom,영국,East Midlands
Emerald Airport,에메랄드 공항,EMD,YEML,대양주,Australia,오스트레일리아,Emerald
Emmonak Airport,엠모낙 공항,EMK,PAEM,북미캐나다,United States,미국,Emmonak
Emmen Air Base,엠멘 공군기지,EML,LSME,유럽,Switzerland,스위스,Emmen
Nema Airport,네마 공항,EMN,GQNI,중동아프리카,Mauritania,모리타니아,Nema
Emo Airport,이모 공항,EMO,AYEO,아시아태평양,Papua New Guinea,파푸아뉴기니,Emo
Kenai Municipal Airport,케나이 공항,ENA,PAEN,북미캐나다,United States,미국,Kenai
H. Hasan Aroeboesman Airport,H. 하산 아로보에스만 공항,ENE,WATE,아시아태평양,Indonesia,인도네시아,Ende
Enonteki Airport,에논테키외 공항,ENF,EFET,유럽,Finland,핀란드,Enontekio
Enshi Xujiaping Airport,엔스 쉬자핑 공항,ENH,ZHES,아시아태평양,China,중국,Enshi
El Nido Airport,엘니도 공항,ENI,,아시아태평양,Philippines,필리핀,El Nido
Teniente Amin Ayub Gonzalez Airport,테니엔테 아민 아유브 곤잘레스 공항,ENO,SGEN,중남미,Paraguay,파라과이,Encarnacion
Enschede AirportTwente,엔스헤데 공항트벤테,ENS,EHTW,유럽,Netherlands,네덜란드,Enschede
Enewetak Auxiliary Airfield,에네웨탁 보조 비행장,ENT,PKMA,아시아태평양,Marshall Islands,마샬 군도,Enewetak
Akanu Ibiam International Airport,아카누 이비암 국제공항,ENU,DNEN,중동아프리카,Nigeria,나이지리아,Enugu
Kenosha Regional Airport,케노샤 공항,ENW,KENW,북미캐나다,United States,미국,Kenosha
Yan'an Nanniwan Airport,옌안 난니완 공항,ENY,ZLYA,아시아태평양,China,중국,Yan'an
Olaya Herrera Airport,올라야 헤레라 공항,EOH,SKMD,중남미,Colombia,콜롬비아,MedellIn
Eday Airport,이데이 공항,EOI,EGED,유럽,United Kingdom,영국,Eday
El Palomar Airport,엘 팔로마 공항,EPA,SADP,중남미,Argentina,아르헨티나,El Palomar
epinal Mirecourt Airport,에피날 미르쿠르 공항,EPL,LFSG,유럽,France,프랑스,epinal
Esperance Airport,에스페란스 공항,EPR,YESP,대양주,Australia,오스트레일리아,Esperance
PArnu Airport,페르누 공항,EPU,EEPU,유럽,Estonia,에스토니아,PArnu
Esquel Airport,에스켈 공항,EQS,SAVE,중남미,Argentina,아르헨티나,Esquel
Erzincan Airport,에르진칸 공항,ERC,LTCD,유럽,Turkey,터키,Erzincan
Erfurt Weimar Airport,에르푸르트 바이마르 공항,ERF,EDDE,유럽,Germany,독일,Erfurt
Erbogachen Airport,에르보가첸 공항,ERG,UIKE,유럽,Russia,러시아,Yerbogachen
Moulay Ali Cherif Airport,물레이 알리 체리프 공항,ERH,GMFK,중동아프리카,Morocco,모로코,Errachidia
Erie International Airport,이리 국제공항,ERI,KERI,북미캐나다,United States,미국,Erie
Erenhot Saiwusu International Airport,에렌호터 사이우스 국제공항,ERL,ZBER,아시아태평양,China,중국,Erenhot
Erechim Airport,에레킴 공항,ERM,SSER,중남미,Brazil,브라질,Erechim
Eirunepe Airport,에이루네페 공항,ERN,SWEI,중남미,Brazil,브라질,Eirunepe
Elrose Airport,엘로즈 공항,ERQ,,대양주,Australia,오스트레일리아,Eloise Copper Mine
Eros Airport,에로스 공항,ERS,FYWE,중동아프리카,Namibia,나미비아,Windhoek
Erzurum Airport,에르주룸 공항,ERZ,LTCE,유럽,Turkey,터키,Erzurum
Esenboga International Airport,에센보아 국제공항,ESB,LTAC,유럽,Turkey,터키,Ankara
Delta County Airport,델타 카운티 공항,ESC,KESC,북미캐나다,United States,미국,Escanaba
Orcas Island Airport,오르카스 아일랜드 공항,ESD,KORS,북미캐나다,United States,미국,Eastsound
Dr. Luis MarIa Argana International Airport,닥터 루이스 마리아 아르가냐 국제공항,ESG,SGME,중남미,Paraguay,파라과이,Mariscal Estigarribia
Shoreham Airport,쇼어햄 공항,ESH,EGKA,유럽,United Kingdom,영국,Shoreham
Elista Airport,엘리스타 공항,ESL,URWI,유럽,Russia,러시아,Elista
Carlos Concha Torres International Airport,카를로스 콘차 토레스 국제 공항,ESM,SETN,중남미,Ecuador,에콰도르,Esmeraldas
Ricardo GarcIa Posada Airport,리카르도 가르시아 포사다 공항,ESR,SCES,중남미,Chile,칠레,El Salvador
Essen/Mlheim Airport,에센/뮬하임 공항,ESS,EDLE,유럽,Germany,독일,Essen
Essaouira Mogador Airport,에사우이라 모가도르 공항,ESU,GMMI,중동아프리카,Morocco,모로코,Essaouira
Ramon Airport,라몬 공항,ETM,,중동아프리카,Israel,이스라엘,Eilat
Santa Rosa International Airport,산타 로사 국제 공항,ETR,SERO,중남미,Ecuador,에콰도르,Santa Rosa
Metz Nancy Lorraine Airport,메스 낭시 로렌 공항,ETZ,LFJL,유럽,France,프랑스,Metz/Nancy
Eua Airport,우아 공항,EUA,NFTE,아시아태평양,Tonga,통가,Eua
Eugene Airport,유진 공항,EUG,KEUG,북미캐나다,United States,미국,Eugene
Hassan I Airport,하산 I 공항,EUN,GMML,중동아프리카,Western Sahara,서사하라,Laayoune
Evelio Javier Airport,에벨리오 하비에르 공항,EUQ,RPVS,아시아태평양,Philippines,필리핀,Antique
F. D. Roosevelt Airport,F.D. 루즈벨트 공항,EUX,TNCE,중남미,Caribbean Netherlands,네덜란드령 카리브,StEustatius
Ben Bruce Memorial Airpark,벤 브루스 메모리얼 에어파크,EVA,,북미캐나다,United States,미국,Evadale
Harstad/Narvik Airport Evenes,하르스타드/나르비크 공항 에베네스,EVE,ENEV,유럽,Norway,노르웨이,Harstad-Narvik
Sveg Airport,스베그 공항,EVG,ESND,유럽,Sweden,스웨덴,Sveg
Zvartnots International Airport,즈바르트노츠 국제 공항,EVN,UDYZ,아시아태평양,Armenia,아르메니아,Yerevan
Evansville Regional Airport,에반스빌 공항,EVV,KEVV,북미캐나다,United States,미국,Evansville
New Bedford Regional Airport,뉴 베드퍼드 공항,EWB,KEWB,북미캐나다,United States,미국,New Bedford
Ewer Airport,이워 공항,EWE,,아시아태평양,Indonesia,인도네시아,Ewer
Enarotali Airport,에나로탈리 공항,EWI,WABT,아시아태평양,Indonesia,인도네시아,Enarotali
Coastal Carolina Regional Airport,코스탈 캐롤라이나 공항,EWN,KEWN,북미캐나다,United States,미국,New Bern
Newark Liberty International Airport,뉴어크 리버티 국제공항,EWR,KEWR,북미캐나다,United States,미국,Newark
Excursion Inlet Seaplane Base,Excursion 입구 해저면 기지,EXI,,북미캐나다,United States,미국,Excursion
Exeter International Airport,엑서터 국제 공항,EXT,EGTE,유럽,United Kingdom,영국,Exeter
Beloyarsk Airport,벨로야르스크 공항,EYK,USHQ,유럽,Russia,러시아,Beloyarsky
El Alcaravan Airport,엘 알카라반 공항,EYP,SKYP,중남미,Colombia,콜롬비아,Yopal
Key West International Airport,키웨스트 국제 공항,EYW,KEYW,북미캐나다,United States,미국,Key West
Ministro Pistarini International Airport,미니스트로 피스타리니 국제공항,EZE,SAEZ,중남미,Argentina,아르헨티나,Buenos Aires
Elazig Airport,엘라지그 공항,EZS,LTCA,유럽,Turkey,터키,Elazig
Beryozovo Airport,베리조보 공항,EZV,,유럽,Russia,러시아,Beryozovo
Faranah Airport,파라나 공항,FAA,GUFH,중동아프리카,Guinea,기니,Faranah
Farnborough Airport,판버러 공항,FAB,EGLF,유럽,United Kingdom,영국,Farnborough
Faaite Airport,파이테 공항,FAC,NTKF,아시아태평양,French Polynesia,프랑스령 폴리네시아,Faaite
Vagar Airport,바가르 공항,FAE,EKVG,중남미,Faroe Islands,페로제도,FaroeIs
Farah Airport,파라 공항,FAH,OAFR,중동아프리카,Afghanistan,아프가니스탄,Farah
Fairbanks International Airport,페어뱅크스 국제 공항,FAI,PAFA,북미캐나다,United States,미국,Fairbanks
Faro Airport,파로 공항,FAO,LPFR,유럽,Portugal,포르투갈,Faro
Hector International Airport,헥터 국제 공항,FAR,KFAR,북미캐나다,United States,미국,Fargo
Fresno Yosemite International Airport,프레즈노 요세미티 국제 공항,FAT,KFAT,북미캐나다,United States,미국,Fresno
Fahud Airport,파후드 공항,FAU,OOFD,중동아프리카,Oman,오만,Fahud
Fakarava Airport,파카라바 공항,FAV,NTGF,아시아태평양,French Polynesia,프랑스령 폴리네시아,Fakarava
Fayetteville Regional Airport,페이엇빌 리저널 공항,FAY,KFAY,북미캐나다,United States,미국,Fayetteville
Fasa Airport,파사 공항,FAZ,OISF,중동아프리카,Iran,이란,Fasa
Fonte Boa Airport,폰테 보아 공항,FBA,SWOB,중남미,Brazil,브라질,Fonte Boa
Fayzabad Airport,파이자바드 공항,FBD,OAFZ,중동아프리카,Afghanistan,아프가니스탄,Fayzabad
Francisco Beltrao Airport,프란시스코 벨트랑 공항,FBE,SSFB,중남미,Brazil,브라질,Francisco Beltrao
Lubumbashi International Airport,루붐바시 국제공항,FBM,FZQA,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Lubumbashi
Friday Harbor Seaplane Base,프라이데이 하버 수상비행기 기지,FBS,,북미캐나다,United States,미국,Friday Harbor
Glacier Park International Airport,글레이셔 파크 국제공항,FCA,KGPI,북미캐나다,United States,미국,Kalispell
Sea AirportCuxhaven/Nordholz,해상 공항쿡스하펜/노르드홀츠,FCN,ETMN,유럽,Germany,독일,Cuxhaven
Leonardo da Vinci Fiumicino Airport,레오나르도 다빈치 피우미치노 공항,FCO,LIRF,유럽,Italy,이탈리아,Rome
Forde Airport Bringeland,브린절랜드 공항,FDE,ENBL,유럽,Norway,노르웨이,Forde
Martinique Aime Cesaire International Airport,마르티니크 에메 세자르 국제 공항,FDF,TFFF,중남미,Martinique,마르티니크,Fort de France
Friedrichshafen Airport,프리드리히스하펜 공항,FDH,EDNY,유럽,Germany,독일,Friedrichshafen
Feira de Santana Airport,페이라 데 산타나 공항,FEC,SDIY,중남미,Brazil,브라질,Feira de Santana
Fergana International Airport,페르가나 국제 공항,FEG,UTFF,아시아태평양,Uzbekistan,우즈베키스탄,Fergana
Fernando de Noronha Airport,페르난도 데 노로냐 공항,FEN,SBFN,중남미,Brazil,브라질,Fernando de Noronha
Fes Saiss Airport,페스 사이스 공항,FEZ,GMFF,중동아프리카,Morocco,모로코,Fez
Fagali'i Airport,파갈리 공항,FGI,NSFI,아시아태평양,Samoa,사모아,Apia
Fangatau Airport,팡가타우 공항,FGU,NTGB,아시아태평양,French Polynesia,프랑스령 폴리네시아,Fangatau
Sierra Vista Municipal Airport,시에라 비스타 시립공항,FHU,KFHU,북미캐나다,United States,미국,Fort Huachuca
Fakahina Airport,파카히나 공항,FHZ,NTKH,아시아태평양,French Polynesia,프랑스령 폴리네시아,Fakahina
Fair Isle Airport,페어 아일 공항,FIE,EGEF,유럽,United Kingdom,영국,Fair Isle
N'djili Airport,은질리 공항,FIH,FZAA,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Kinshasa
Fitzroy Crossing Airport,피츠로이 크로싱 공항,FIZ,YFTZ,대양주,Australia,오스트레일리아,Fitzroy Crossing
Fujairah International Airport,푸자이라 국제 공항,FJR,OMFJ,중동아프리카,United Arab Emirates,아랍에미레이트,Fujairah
Karlsruhe/Baden Baden Airport,카를스루에/바덴바덴 공항,FKB,EDSB,유럽,Germany,독일,Karlsruhe
Bangoka International Airport,방고카 국제 공항,FKI,FZIC,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Kisangani
Venango Regional Airport,베넹고 지역 공항,FKL,KFKL,북미캐나다,United States,미국,Franklin
Fakfak Torea Airport,팍팍 토레아 공항,FKQ,WASF,아시아태평양,Indonesia,인도네시아,Fakfak
Fukushima Airport,후쿠시마 공항,FKS,RJSF,아시아태평양,Japan,일본,Fukushima
Gustavo Artunduaga Paredes Airport,구스타보 아르툰두아가 파레데스 공항,FLA,SKFL,중남미,Colombia,콜롬비아,Florencia
Flagstaff Pulliam Airport,플래그스태프 풀리엄 공항,FLG,KFLG,북미캐나다,United States,미국,Flagstaff
Holt Airport,홀트 공항,FLI,BIHT,유럽,Iceland,아이슬란드,Flateyri
Fort Lauderdale Hollywood International Airport,포트로더데일 할리우드 국제공항,FLL,KFLL,북미캐나다,United States,미국,Fort Lauderdale
HercIlio Luz International Airport,에르실리오 루스 국제 공항,FLN,SBFL,중남미,Brazil,브라질,Florianopolis
Florence Regional Airport,피렌체 공항,FLO,KFLO,북미캐나다,United States,미국,Florence
Florence Airport Peretola,피렌체 공항 페레톨라,FLR,LIRQ,유럽,Italy,이탈리아,Florence
Flinders Island Airport,플린더스 아일랜드 공항,FLS,YFLI,대양주,Australia,오스트레일리아,Flinders Island
Flores Airport,플로레스 공항,FLW,LPFL,유럽,Portugal,포르투갈,Flores Island
Ferdinand Lumban Tobing Airport,페르디난드 룸반 토빙 공항,FLZ,,아시아태평양,Indonesia,인도네시아,Sibolga
Formosa International Airport,포르모사 국제공항,FMA,SARF,중남미,Argentina,아르헨티나,Formosa
Kalemie Airport,칼레미 공항,FMI,FZRF,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Kalemie
Memmingen Airport,메밍겐 공항,FMM,EDJA,유럽,Germany,독일,Memmingen
Four Corners Regional Airport,포코너스 공항,FMN,KFMN,북미캐나다,United States,미국,Farmington
Mnster Osnabrck Airport,뮌스터 오스나브뤼크 공항,FMO,EDDG,유럽,Germany,독일,Mnster
Page Field,페이지 필드,FMY,KFMY,북미캐나다,United States,미국,Fort Myers
Lungi International Airport,룽기 국제공항,FNA,GFLL,중동아프리카,Sierra Leone,시에라리온,Freetown
Neubrandenburg Airport,노이브란덴부르크 공항,FNB,EDBN,유럽,Germany,독일,Neubrandenburg
Madeira Airport,마데이라 공항,FNC,LPMA,유럽,Portugal,포르투갈,Funchal
Funadhoo Airport,푸나드후 공항,FND,,아시아태평양,Maldives,몰디브,Funadhoo
Fane Airport,페네 공항,FNE,AYFA,아시아태평양,Papua New Guinea,파푸아뉴기니,Fane
Nimes Ales Camargue Cevennes Airport,님알레스 카마르그 세벤느 공항,FNI,LFTW,유럽,France,프랑스,NImes
Pyongyang Sunan International Airport,평양 순안국제공항,FNJ,ZKPY,아시아태평양,North Korea,조선민주주의인민공화국,Pyongyang
Fort Collins Loveland Municipal Airport,포트콜린스 러브랜드 공항,FNL,KFNL,북미캐나다,United States,미국,Fort Collins
Bishop International Airport,비숍 국제 공항,FNT,KFNT,북미캐나다,United States,미국,Flint
Foula Airfield,풀라 비행장,FOA,,유럽,United Kingdom,영국,Foula
Fuzhou Changle International Airport,푸저우 창러 국제공항,FOC,ZSFZ,아시아태평양,China,중국,Fuzhou
Fort Dodge Regional Airport,포트닷지 공항,FOD,KFOD,북미캐나다,United States,미국,Fort Dodge
Topeka Regional Airport,토피카 공항,FOE,KFOE,북미캐나다,United States,미국,Topeka
Foggia Airport,포지아 공항,FOG,LIBF,유럽,Italy,이탈리아,Foggia
La Fortuna Arenal Airport,라 포르투나 아레날 공항,FON,MRAN,중남미,Costa Rica,코스타리카,Fortuna
Pinto Martins Fortaleza International Airport,핀토 마틴스 포르탈레자 국제공항,FOR,SBFZ,중남미,Brazil,브라질,Fortaleza
Foya Airport,포야 공항,FOY,,중동아프리카,Liberia,라이베리아,Foya
Grand Bahama International Airport,그랜드 바하마 국제 공항,FPO,MYGF,중남미,Bahamas,바하마,Freeport
Frankfurt Airport,프랑크푸르트 공항,FRA,EDDF,유럽,Germany,독일,Frankfurt
Franca Airport,프랑카 공항,FRC,SIMK,중남미,Brazil,브라질,Franca
Friday Harbor Airport,프라이데이 하버 공항,FRD,KFHR,북미캐나다,United States,미국,Friday Harbor
Fera Airport,페라 공항,FRE,AGGF,아시아태평양,Solomon Islands,솔로몬 제도,Fera Island
Republic Airport,리퍼블릭 공항,FRG,KFRG,북미캐나다,United States,미국,Farmingdale
Forli International Airport,포를리 국제공항,FRL,LIPK,유럽,Italy,이탈리아,Forli
Floro Airport,플로로 공항,FRO,ENFL,유럽,Norway,노르웨이,Floro
Mundo Maya International Airport,문도 마야 국제 공항,FRS,MGMM,중남미,Guatemala,과테말라,Flores
Manas International Airport,마나스 국제 공항,FRU,UCFM,아시아태평양,Kyrgyzstan,키르기스스탄,Bishkek
Francistown Airport,프랜시스타운 공항,FRW,FBFT,중동아프리카,Botswana,보츠와나,Francistown
Figari Sud Corse Airport,피가리 수드 코르세 공항,FSC,LFKF,유럽,France,프랑스,Figari
Sioux Falls Regional Airport,수폴스 지역공항,FSD,KFSD,북미캐나다,United States,미국,Sioux Falls
Fort Smith Regional Airport,포트 스미스 공항,FSM,KFSM,북미캐나다,United States,미국,Fort Smith
Saint Pierre Airport,생피에르 공항,FSP,LFVP,북미캐나다,Saint Pierre and Miquelon,생피에르 앤드 미클롱,Saint Pierre
Shizuoka Airport,시즈오카 공항,FSZ,RJNS,아시아태평양,Japan,일본,Shizuoka
Futuna Airport,푸투나 공항,FTA,NVVF,아시아태평양,Vanuatu,바누아투,Futuna Island
Comandante Armando Tola International Airport,코만단테 아르만도 톨라 국제공항,FTE,SAWC,중남미,Argentina,아르헨티나,El Calafate
Fitiuta Airport,피티우타 공항,FTI,NSFQ,아시아태평양,American Samoa,아메리칸 사모아,Fitiuta
Tolanaro Airport,톨라나로 공항,FTU,FMSD,중동아프리카,Madagascar,마다가스카르,Tolanaro
Fort Worth Meacham International Airport,포트워스 미컴 국제공항,FTW,KFTW,북미캐나다,United States,미국,Fort Worth
Fulton County Airport,풀턴 카운티 공항,FTY,KFTY,북미캐나다,United States,미국,Atlanta
Fuerteventura Airport,푸에르테벤투라 공항,FUE,GCFV,유럽,Spain,스페인,Fuerteventura
Fuyang Xiguan Airport,푸양 시관 공항,FUG,ZSFY,아시아태평양,China,중국,Fuyang
Fukue Airport,후쿠에 공항,FUJ,RJFE,아시아태평양,Japan,일본,Fukue
Fukuoka Airport,후쿠오카 공항,FUK,RJFF,아시아태평양,Japan,일본,Fukuoka
Funafuti International Airport,푸나푸티 국제공항,FUN,NGFU,아시아태평양,Tuvalu,투발루,Funafuti
Foshan Shadi Airport,포산 샤디 공항,FUO,ZGFS,아시아태평양,China,중국,Foshan
Pointe Vele Airport,포인트 벨레 공항,FUT,NLWF,아시아태평양,Wallis and Futuna,월리스푸투나,Futuna Island
Fuvahmulah Airport,푸바물라 공항,FVM,VRMR,아시아태평양,Maldives,몰디브,Fuvahmulah
Fort Wayne International Airport,포트 웨인 국제 공항,FWA,KFWA,북미캐나다,United States,미국,Fort Wayne
Fort Lauderdale Executive Airport,포트로더데일 이그제큐티브 공항,FXE,KFXE,북미캐나다,United States,미국,Fort Lauderdale
Cuamba Airport,쿠암바 공항,FXO,FQCB,중동아프리카,Mozambique,모잠비크,Cuamba
Fuyuan Dongji Airport,푸위안 둥지 공항,FYJ,ZYFY,아시아태평양,China,중국,Fuyuan
Fuyun Koktokay Airport,푸윈 콕토케이 공항,FYN,ZWFY,아시아태평양,China,중국,Fuyun
Faya Largeau Airport,파야 라조 공항,FYT,FTTY,중동아프리카,Chad,차드,Faya Largeau
Fort Yukon Airport,포트 유콘 공항,FYU,PFYU,북미캐나다,United States,미국,Fort Yukon
Drake Field,드레이크 필드 공항,FYV,KFYV,북미캐나다,United States,미국,Fayetteville
Fuzuli International Airport,푸쭈리 국제공항,FZL,UBBF,아시아태평양,Azerbaijan,아제르바이잔,Fuzuli
Gracias Airport,그라시아스 공항,GAC,MHGS,유럽,Honduras,온두라스,Gracias
Gabes Matmata International Airport,가베스 마트마타 국제공항,GAE,DTTG,중동아프리카,Tunisia,튀니지,Gabes
Gafsa Ksar International Airport,가프사 크사르 국제공항,GAF,DTTF,중동아프리카,Tunisia,튀니지,Gafsa
Yamagata Airport,야마가타 공항,GAJ,RJSC,아시아태평양,Japan,일본,Yamagata
Edward G. Pitka Sr. Airport,에드워드 G. 피트카 시니어 공항,GAL,PAGA,북미캐나다,United States,미국,Galena
Gambell Airport,갬벨 공항,GAM,PAGM,북미캐나다,United States,미국,Gambell
Gan International Airport,간 국제 공항,GAN,VRMG,아시아태평양,Maldives,몰디브,Gan Island
Mariana Grajales Airport,마리아나 그라할레스 공항,GAO,MUGT,중남미,Cuba,쿠바,Guantanamo
Gao International Airport,가오 국제공항,GAQ,GAGO,중동아프리카,Mali,말리,Gao
Garissa Airport,가리사 공항,GAS,HKGA,중동아프리카,Kenya,케냐,Garissa
Lokpriya Gopinath Bordoloi International Airport,록프리야 고피나트 보르돌로이 국제공항,GAU,VEGT,아시아태평양,India,인도,Guwahati
Gamba Airport,감바 공항,GAX,,중동아프리카,Gabon,가봉,Gamba
Gaya Airport,가야 공항,GAY,VEGY,아시아태평양,India,인도,Gaya
Qabala International Airport,카발라 국제 공항,GBB,UBBQ,아시아태평양,Azerbaijan,아제르바이잔,Qabala
Great Bend Municipal Airport,그레이트 벤드 공항,GBD,KGBD,북미캐나다,United States,미국,Great Bend
Sir Seretse Khama International Airport,세레체 카마 경 국제 공항,GBE,FBSK,중동아프리카,Botswana,보츠와나,Gaborone
Kalaburagi Airport,칼라부라기 공항,GBI,VOGB,아시아태평양,India,인도,Kalaburagi
South Goulburn Island Airport,사우스 골번 아일랜드 공항,GBL,YGBI,대양주,Australia,오스트레일리아,Goulburn Islands
Gorgan Airport,고간 공항,GBT,OING,중동아프리카,Iran,이란,Gorgan
Ginbata Airport,긴바타 공항,GBW,,대양주,Australia,오스트레일리아,Ginbata
Gillette Campbell County Airport,질레트 캠벨 카운티 공항,GCC,KGCC,북미캐나다,United States,미국,Gillette
Gachsaran Airport,가흐사란 공항,GCH,OIAH,중동아프리카,Iran,이란,Gachsaran
Guernsey Airport,건지 공항,GCI,EGJB,유럽,Guernsey,건지,The Forest
Grand Central Airport,그랜드 센트럴 공항,GCJ,FAGC,중동아프리카,South Africa,남아프리카,Johannesburg
Garden City Regional Airport,가든 시티 공항,GCK,KGCK,북미캐나다,United States,미국,Garden City
Owen Roberts International Airport,오웬 로버츠 국제 공항,GCM,MWCR,중남미,Cayman Islands,케이멘제도,Grand Cayman
Grand Canyon National Park Airport,그랜드캐니언 국립공원 공항,GCN,KGCN,북미캐나다,United States,미국,Grand Canyon
Grand Canyon Bar 10 Airport,그랜드 캐니언 바 10 공항,GCT,,북미캐나다,United States,미국,Whitmore
Grand Canyon West Airport,그랜드캐니언 웨스트 공항,GCW,,북미캐나다,United States,미국,Peach Springs
Gode Airport,고데 공항,GDE,HAGO,중동아프리카,Ethiopia,이디오피아,Gode
Guadalajara International Airport,과달라하라 국제공항,GDL,MMGL,중남미,Mexico,멕시코,Guadalajara
Gdansk Lech WaLesa Airport,그단스크 레흐 바웬사 공항,GDN,EPGD,유럽,Poland,폴란드,Gdansk
Guasdualito Airport,과스두알리토 공항,GDO,SVGD,중남미,Venezuela,베네수엘라,Guasdualito
Gondar Airport,곤다르 공항,GDQ,HAGN,중동아프리카,Ethiopia,이디오피아,Gondar
JAGS McCartney International Airport,JAGS 매카트니 국제공항,GDT,MBGT,중남미,Turks and Caicos Islands,터크스케이커스 제도,Grand Turk Island
Dawson Community Airport,도슨 커뮤니티 공항,GDV,KGDV,북미캐나다,United States,미국,Glendive
Sokol Airport,소콜 공항,GDX,UHMM,유럽,Russia,러시아,Magadan
Gelendzhik Airport,겔렌지크 공항,GDZ,URKG,유럽,Russia,러시아,Gelendzhik
Noumea Magenta Airport,누메아 마젠타 공항,GEA,NWWM,아시아태평양,New Caledonia,뉴칼레도니아,Noumea
Spokane International Airport,스포캔 국제 공항,GEG,KGEG,북미캐나다,United States,미국,Spokane
Sepe Tiaraju Airport,세페 티아라주 공항,GEL,SBNM,중남미,Brazil,브라질,Santo angelo
President Obiang Nguema International Airport,프레지던트 오비앙 응게마 국제공항,GEM,,중동아프리카,Equatorial Guinea,적도 기니,Mengomeyen
Cheddi Jagan International Airport,체디 자간 국제 공항,GEO,SYCJ,중남미,Guyana,가이아나,Georgetown
Rafael Cabrera Mustelier Airport,라파엘 카브레라 무스텔리에 공항,GER,MUNG,중남미,Cuba,쿠바,Nueva Gerona
General Santos International Airport,제너럴 산토스 국제공항,GES,RPMR,아시아태평양,Philippines,필리핀,General Santos
Geraldton Airport,제럴턴 공항,GET,YGEL,대양주,Australia,오스트레일리아,Geraldton
GAllivare Airport,옐리바레 공항,GEV,ESNG,유럽,Sweden,스웨덴,GAllivare
Griffith Airport,그리피스 공항,GFF,YGTH,대양주,Australia,오스트레일리아,Griffith
Grand Forks International Airport,그랜드 폭스 국제 공항,GFK,KGFK,북미캐나다,United States,미국,Grand Forks
Clarence Valley Regional Airport,클래런스 밸리 공항,GFN,YGFN,대양주,Australia,오스트레일리아,Grafton
East Texas Regional Airport,이스트 텍사스 공항,GGG,KGGG,북미캐나다,United States,미국,Longview
Kakamega Airport,카카메가 공항,GGM,HKKG,중동아프리카,Kenya,케냐,Kakamega
Garowe International Airport,가로웨 국제공항,GGR,,중동아프리카,Somalia,소말리아,Garowe
Exuma International Airport,엑수마 국제 공항,GGT,MYEF,중남미,Bahamas,바하마,GeorgeTown
Glasgow Airport,글래스고 공항,GGW,KGGW,북미캐나다,United States,미국,Glasgow
Noumerat Moufdi Zakaria Airport,누메라트 무프디 자카리아 공항,GHA,DAUG,중동아프리카,Algeria,알제리,Ghardaia
Governor's Harbour Airport,거버너스하버 공항,GHB,MYEM,중남미,Bahamas,바하마,Governor's Harbour
Great Harbour Cay Airport,그레이트 하버 케이 공항,GHC,MYBG,중남미,Bahamas,바하마,Great Harbour Cay
Garachine Airport,가라치네 공항,GHE,,중남미,Panama,파나마,Garachine
West Kutai Melalan Airport,웨스트 쿠타이 멜라란 공항,GHS,,아시아태평양,Indonesia,인도네시아,Melak
Ghat Airport,가트 공항,GHT,HLGT,중동아프리카,Libya,리비아,Ghat
Brasov Ghimbav International Airport,브라쇼브 김바브 국제공항,GHV,LRBV,유럽,Romania,루마니아,Brasov
Gibraltar International Airport,지브롤터 국제공항,GIB,LXGB,유럽,Gibraltar,지브롤터,Gibraltar
Boigu Island Airport,보이구 아일랜드 공항,GIC,YBOI,대양주,Australia,오스트레일리아,Boigu Island
Rio de Janeiro Galeao International Airport,리우데자네이루 갈레앙 국제공항,GIG,SBGL,중남미,Brazil,브라질,Rio de Janeiro
Gilgit Airport,길기트 공항,GIL,OPGT,중동아프리카,Pakistan,파키스탄,Gilgit
Gisborne Airport,기즈번 공항,GIS,NZGS,아시아태평양,New Zealand,뉴질랜드,Gisborne
Geita Airport,게이타 공항,GIT,HTGE,중동아프리카,Tanzania,탄자니아,Geita
Sigiriya Airport,시기리야 공항,GIU,VCCS,아시아태평양,Sri Lanka,스리랑카,Sigiriya
Jizan Regional Airport,지잔 지역공항,GIZ,OEGN,중동아프리카,Saudi Arabia,사우디아라비아,Jizan
Guanaja Airport,과나하 공항,GJA,MHNJ,유럽,Honduras,온두라스,Guanaja
Jijel Ferhat Abbas Airport,지젤 퍼헷 하버스 공항,GJL,DAAV,중동아프리카,Algeria,알제리,Jijel
Gjgur Airport,요구르 공항,GJR,BIGJ,유럽,Iceland,아이슬란드,Gjgur
Grand Junction Regional Airport,워커 필드 공항,GJT,KGJT,북미캐나다,United States,미국,Grand Junction
Goroka Airport,고로카 공항,GKA,AYGA,아시아태평양,Papua New Guinea,파푸아뉴기니,Goroka
Kooddoo Airport,쿠두 공항,GKK,VRMO,아시아태평양,Maldives,몰디브,Kooddoo
